000676BA	A0
00067708	A1
00067740	A2
0006776E	A3
000677A6	A4
000677DE	A5
00067830	A6
00067858	A7
00067874	A8
000678B0	A9
000678E0	AA
00067900	AB
00067924	AC
00067946	AD
00067964	AE
0006798C	AF

000679BC	B0
000679C8	B1
000679FA	B2
00067A2A	B3
00067A70	B4
00067A9E	B5
00067ACA	B6
00067B12	B7
00067B58	B8
00067B80	B9
00067BA8	BA
00067BD0	BB
00067C0C	BC
00067C3C	BD
00067C78	BE
00067C8C	BF

00067CD4	C0
00067D1C	C1
00067D50	C2
00067D88	C3
00067DB0	C4
00067E14	C5
00067E3C	C6
00067E64	C7
00067E72	C8
00067E9A	C9
00067ED0	CA
00067F00	CB
00067F2E	CC
00067F5E	CD
00067F8E	CE
00067FBA	CF
