00067D86	A0
00067DD4	A1
00067E0C	A2
00067E3A	A3
00067E6A	A4
00067E92	A5
00067EE4	A6
00067F0C	A7
00067F28	A8
00067F8A	A9
00067FBA	AA
00067FDA	AB
00067FFE	AC
00068026	AD
00068044	AE
0006806C	AF
0006809C	B0
000680E2	B1
00068114	B2
00068144	B3
00068170	B4
0006819E	B5
000681CA	B6
00068212	B7
00068258	B8
00068280	B9
000682A8	BA
000682D0	BB
0006830C	BC
00068334	BD
00068370	BE
00068384	BF
000683AC	C0
000683F4	C1
00068428	C2
00068460	C3
00068488	C4
000684DA	C5
00068502	C6
0006852A	C7
00068538	C8
00068572	C9
000685D6	CA
00068606	CB
0006863C	CC
0006866C	CD
0006869C	CE
000686C8	CF
000686F4	D0
